File,Compressor,Original_Size,Compressed_Size,CR
gray.raw,HA,1300801,1081284,0.8312447484280839
gray.raw,RLE,1300801,624745,0.48027715230846224
gray.raw,BWT+RLE,1300801,736722,0.5663602657132029
gray.raw,BWT+MTF+HA,1300801,570948,0.43892032678326665
gray.raw,BWT+MTF+RLE+HA,1300801,556702,0.42796861318526047
gray.raw,LZSS,1300801,530673,0.40795863471814675
gray.raw,LZSS+HA,1300801,516428,0.39700768987723717
gray.raw,LZW,1300801,866709,0.6662886944275105
gray.raw,LZW+HA,1300801,789692,0.6070813291195194
color.raw,HA,14745601,13741805,0.9319257316131095
color.raw,RLE,14745601,15061303,1.0214099106574226
color.raw,BWT+RLE,14745601,13101060,0.8884724332361902
color.raw,BWT+MTF+HA,14745601,7370296,0.49983015273504283
color.raw,BWT+MTF+RLE+HA,14745601,8462764,0.5739178755752309
color.raw,LZSS,14745601,8624632,0.5848952511328633
color.raw,LZSS+HA,14745601,8010979,0.5432792464681501
color.raw,LZW,14745601,25648157,1.7393768487293262
color.raw,LZW+HA,14745601,16375832,1.1105571078452483
enwik7,HA,10000000,6412647,0.6412647
enwik7,RLE,10000000,10374324,1.0374324
enwik7,BWT+RLE,10000000,8640335,0.8640335
enwik7,BWT+MTF+HA,10000000,4952618,0.4952618
enwik7,BWT+MTF+RLE+HA,10000000,5697603,0.5697603
enwik7,LZSS,10000000,5106977,0.5106977
enwik7,LZSS+HA,10000000,4851206,0.4851206
enwik7,LZW,10000000,4665551,0.4665551
enwik7,LZW+HA,10000000,4636566,0.4636566
english,HA,205513,114874,0.5589622067703747
english,RLE,205513,209453,1.0191715365937921
english,BWT+RLE,205513,192634,0.937332431525013
english,BWT+MTF+HA,205513,100402,0.48854330382992806
english,BWT+MTF+RLE+HA,205513,116268,0.5657452326616808
english,LZSS,205513,105115,0.5114761596589997
english,LZSS+HA,205513,100802,0.4904896527226988
english,LZW,205513,92579,0.4504775853595636
english,LZW+HA,205513,89339,0.43471215932812035
random.exe,HA,2410312,2403714,0.9972625950499354
random.exe,RLE,2410312,2433995,1.0098256989136676
random.exe,BWT+RLE,2410312,2444641,1.0142425544908709
random.exe,BWT+MTF+HA,2410312,2418376,1.0033456249647348
random.exe,BWT+MTF+RLE+HA,2410312,2442329,1.013283342571418
random.exe,LZSS,2410312,2709867,1.1242805910604103
random.exe,LZSS+HA,2410312,2696288,1.1186468805698184
random.exe,LZW,2410312,2837087,1.1770621396732042
random.exe,LZW+HA,2410312,2596678,1.077320280527998
bw.raw,HA,3456001,947115,0.2740493998699653
bw.raw,RLE,3456001,478440,0.1384374599428646
bw.raw,BWT+RLE,3456001,218519,0.06322885901942736
bw.raw,BWT+MTF+HA,3456001,473717,0.13707085154199897
bw.raw,BWT+MTF+RLE+HA,3456001,171735,0.04969182589935593
bw.raw,LZSS,3456001,53242,0.015405666838638067
bw.raw,LZSS+HA,3456001,40985,0.011859082216700748
bw.raw,LZW,3456001,85185,0.02464843036793103
bw.raw,LZW+HA,3456001,84543,0.024462666532793248
